Name,Current Club,Position,Age,ca,pa,Nationality,Club,Loan Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off the ball,Positioning,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Consistency,Dirtiness,Important Matches,Injury Proneness,Versatility,Aerial Reach,Command Of Area,Communication,Eccentricity,Handling,Kicking,One On Ones,Reflexes,Rushing Out(Tendency),Puching(Tendency),Throwing,Adaptability,Ambition,Controversy,Loyalty,Pressure,Professionalism,Sportsmanship,Temperament,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,Height,Weight,Left Foot,Right Foot,Reputation,Home Reputation,World Reputation,RCA,D.O.B,International Appearances,International Goal,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Shooting Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Andreas Pereira,Fulham,M/AM RLC,27,139,145,"Brazil,Belgium",Fulham,,16,14,12,11,15,14,6,13,2,8,12,14,11,16,14,11,11,11,13,15,10,18,16,12,13,12,15,16,14,14,14,7,15,14,13,9,14,6,14,10,12,2,1,1,2,2,3,1,1,3,2,1,11,17,10,13,9,15,10,13,1,1,1,1,1,1,1,14,20,13,16,20,15,1,178,71,14,20,6950,6500,6200,133,1996/1/1,1,0,10.3,12.5,14,14.3,11.7,14.3,6.5,13,1,12.5,14,13,1,2,2,2
Harrison Reed,Fulham,DM/M RC,28,138,145,England,Fulham,,12,12,11,8,12,12,12,10,8,14,14,8,15,11,14,12,15,13,14,11,13,15,9,12,13,13,17,17,15,14,14,8,15,14,15,11,14,8,12,10,18,3,3,4,3,2,4,2,3,1,2,3,13,13,4,12,13,16,11,13,1,1,1,12,1,13,18,1,20,15,1,10,14,1,181,74,10,20,6900,6900,5350,135,1995/1/27,0,0,14,13.5,14.5,11.3,11.3,11.3,10,14.3,2.5,13.5,14.5,14.3,3.5,3,2.5,3.5
Carlos Vinícius,Fulham,S ,28,134,145,Brazil,Fulham,,10,10,12,14,14,11,12,12,2,7,11,15,8,14,10,14,13,13,13,14,13,14,12,10,12,8,14,14,12,11,14,14,16,13,14,17,11,10,14,8,9,2,3,3,2,3,2,3,3,1,1,3,14,14,11,10,16,15,14,13,1,1,1,1,1,1,1,1,1,1,1,1,1,20,192,86,20,11,6700,5500,5500,133,1995/3/25,0,0,7.7,14,12.5,12.3,13,13.3,13,13.5,3,14,12.5,13.5,3,2,2.5,2.5
Marek Rodák,Fulham,GK,26,126,145,Slovakia,Fulham,,3,3,3,2,10,6,3,3,1,2,12,3,3,10,11,12,14,11,10,5,13,13,1,7,1,14,12,13,8,15,14,15,14,8,9,12,12,5,13,5,1,13,13,14,8,13,13,14,15,13,17,13,12,12,1,11,11,13,13,14,20,1,1,1,1,1,1,1,1,1,1,1,1,1,195,85,6,20,6300,6300,4850,125,1996/12/13,19,0,6.3,12.5,8,6,4.7,7.7,9,12.3,14.5,12.5,8,12.3,13.5,8,13,13
Rodrigo Muniz,Fulham,S ,22,116,145,Brazil,Fulham,,8,10,13,12,13,6,14,11,10,7,13,10,7,13,11,13,13,13,10,10,11,13,15,8,14,7,11,11,13,13,11,14,12,14,10,10,9,10,10,6,8,3,2,3,1,2,1,2,3,3,1,3,9,12,7,8,11,14,11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,20,185,80,8,20,5800,6000,4250,116,2001/5/4,0,0,7,11,13.5,12.7,13,13,14,11.8,2.5,11,13.5,11.8,2.5,1,2.5,2
Calvin Bassey,Fulham,D LC,23,134,144,"Nigeria,England,Italy",Fulham,,9,12,12,7,9,7,15,7,14,14,10,9,13,11,13,12,15,12,11,7,12,10,11,10,11,13,12,15,13,10,13,15,16,15,19,18,10,11,9,5,13,3,3,3,2,1,3,3,3,3,2,3,10,16,7,14,9,15,18,17,1,20,19,1,1,1,1,1,1,1,1,1,1,1,185,78,20,7,6500,6500,5000,129,1999/12/31,10,0,13.3,15,14,9.3,10,10.7,15,12,3,15,14,12,3,2,2,3
Antonee Robinson,Fulham,D/WB L,25,139,143,"United States,England,Jamaica",Fulham,,3,10,13,7,12,7,10,7,4,12,11,8,13,13,13,12,14,11,11,12,11,12,11,9,12,12,14,17,17,13,13,12,14,17,16,14,14,2,13,11,11,3,2,1,3,3,1,2,3,1,1,2,14,12,4,12,12,12,15,15,1,20,1,1,19,1,1,1,1,1,1,1,1,1,183,70,20,8,6950,7100,5750,130,1997/8/8,36,2,12.3,14,17,11.3,10,12.7,11,12.3,2.5,14,17,12.3,1.5,3,3,1.5
Kenny Tete,Fulham,D/WB R,27,140,140,"The Netherlands,Ghana,Mozambique",Fulham,,7,14,10,7,12,7,11,10,12,16,13,7,16,12,11,14,14,12,11,10,14,14,9,8,11,14,15,16,15,11,14,12,14,14,15,14,14,10,14,7,13,1,2,2,3,2,3,2,1,2,3,1,12,12,10,12,11,12,10,10,1,11,14,20,11,19,1,1,1,1,1,1,1,1,180,71,10,20,7000,6850,5500,139,1995/10/9,13,0,15.3,13.5,14.5,10.7,10,11.3,11.5,13.7,1.5,13.5,14.5,13.7,2,3,1.5,2
Harry Wilson,Fulham,AM RLC,26,139,140,Wales,Fulham,,14,15,15,13,14,14,5,13,3,7,15,15,9,15,11,12,12,15,9,15,15,15,15,12,14,8,13,13,14,14,14,6,13,14,13,8,12,5,12,8,9,3,2,1,2,1,1,1,2,3,2,3,11,14,8,16,10,14,10,13,1,1,1,1,1,1,1,13,11,11,16,18,20,12,173,64,20,10,6950,7000,5500,140,1997/3/22,46,6,8,12.3,14,15,14,14.7,5.5,12.7,1.5,12.3,14,12.7,1.5,2,2,2
Tim Ream,Fulham,D LC,35,136,140,United States,Fulham,,3,9,11,6,13,6,14,7,7,13,13,3,15,13,12,14,16,14,14,14,14,15,10,18,12,15,18,16,11,12,14,13,17,12,15,13,15,7,12,9,13,2,3,3,1,1,1,3,4,2,2,3,14,12,5,14,15,17,15,14,1,17,20,1,1,1,1,1,1,1,1,1,1,1,185,73,20,7,6900,6350,5750,136,1987/10/5,51,1,14.3,13.5,11.5,12.3,10.7,12.3,13.5,15.2,3.5,13.5,11.5,15.2,3,1,1.5,2
Tosin Adarabioyo,Fulham,D C,25,135,140,"England,Nigeria",Fulham,,8,8,12,9,13,6,13,9,11,13,13,10,14,13,9,12,11,12,13,13,12,14,13,10,8,13,12,13,14,13,14,17,15,14,14,13,11,6,10,12,11,3,1,3,2,1,1,2,1,4,1,1,13,17,12,7,13,14,14,15,1,1,20,12,1,1,11,1,1,1,1,1,1,1,196,80,11,20,6750,6650,5250,134,1997/9/24,0,0,13.3,13.5,14,13,9.7,12.7,15,12.3,1.5,13.5,14,12.3,2,2,2,1
Josh King,Fulham,DM/M C,16,70,136,England,Fulham,,8,8,4,9,13,8,7,5,7,8,15,3,9,15,9,10,9,8,9,15,13,13,5,10,8,11,14,10,5,6,15,6,9,6,5,2,11,10,9,5,10,2,1,3,3,2,2,1,3,3,1,1,18,9,2,9,8,10,9,17,1,1,1,1,1,1,20,1,18,1,1,1,1,1,168,55,9,20,3500,3500,1000,61,2007/1/3,0,0,9.3,7,5.5,11.7,8.3,10.7,6.5,11.3,2,7,5.5,11.3,2,3,2,1.5
Bradley de Jesus,Fulham,D/AM RLC,17,65,136,"Portugal,England",Fulham,,3,6,11,7,7,5,1,4,5,9,11,4,8,12,7,8,7,7,3,2,10,9,15,8,12,4,12,11,12,13,13,7,11,13,6,2,17,15,9,8,11,3,2,1,3,2,3,1,1,3,1,2,8,11,8,12,11,12,13,12,1,1,1,20,1,15,1,1,1,15,16,15,16,10,178,0,9,20,3250,3250,1500,43,2006/1/14,0,0,7,8.5,12.5,9.3,8.7,10,4,8.2,1,8.5,12.5,8.2,1.5,3,2.5,2.5
Bobby Decordova-Reid,Fulham,WB/AM RLC,30,135,135,"Jamaica,England",Fulham,,9,11,14,13,12,10,9,11,5,8,12,11,8,13,10,12,9,12,14,12,13,17,13,8,13,9,16,17,14,13,15,5,14,14,14,7,12,5,13,8,19,3,3,2,3,3,3,4,1,3,3,3,18,12,6,12,12,15,12,14,1,1,1,13,1,16,1,1,1,1,20,17,18,14,171,68,12,20,6750,6750,5400,129,1993/2/2,22,3,8.3,12.3,14,12.3,12.7,13,7,13.5,2.5,12.3,14,13.5,2.5,3,3,3
Issa Diop,Fulham,D C,26,134,135,"France,Senegal,Morocco",Fulham,,3,3,12,6,11,5,15,9,8,13,9,4,15,12,14,13,12,12,12,9,13,15,3,14,11,14,13,14,14,13,14,17,16,14,13,16,14,13,14,5,7,3,2,4,3,2,2,1,2,2,3,1,15,15,2,13,12,14,13,14,1,1,20,1,1,1,1,1,1,1,1,1,1,1,194,92,5,20,6700,6300,5600,134,1997/1/9,0,0,14,14,14,7,9.7,11.7,16,13,1.5,14,14,13,3,3,2.5,1.5
Tom Cairney,Fulham,M/AM C,32,134,135,"Scotland,England",Fulham,,12,15,14,13,17,14,7,15,6,7,15,13,10,16,13,15,9,15,14,15,15,11,15,17,15,13,15,14,10,13,14,10,15,10,12,9,13,5,14,7,13,1,2,1,3,2,3,3,1,2,3,3,12,14,7,11,14,11,7,18,1,1,1,1,1,1,1,1,20,13,1,20,13,1,185,72,20,7,6700,5600,5250,135,1991/1/20,2,0,10,12,10,15,14.3,15.7,8.5,13.2,2,12,10,13.2,1.5,3,1.5,3
Fodé Ballo-Touré,Fulham,D/WB L,26,133,139,"Senegal,France,Mali",A.C. Milan,Fulham,7,13,12,6,11,5,10,7,14,13,12,6,14,11,14,13,14,11,12,10,12,12,8,8,14,12,14,13,15,15,13,11,16,16,16,12,14,9,11,6,12,3,1,3,1,1,3,3,2,3,3,1,13,14,8,12,11,11,12,14,1,20,1,1,17,1,1,15,1,1,10,1,1,1,182,70,20,7,6650,6500,5250,129,35433,15,0,13,14,15.5,10,10.33333333,11.33333333,10.5,12.83333333,2.5,14,15.5,12.83333333,2,1,2,2
Mohamed Salah,Liverpool,AM/S RL,31,180,187,Egypt,Liverpool,,11,14,16,16,17,12,10,13,6,7,15,17,7,17,11,15,10,15,15,17,15,18,15,11,17,9,16,15,18,16,17,8,17,17,15,15,14,6,16,4,7,2,2,1,3,2,2,2,3,3,2,1,16,19,8,13,16,18,16,17,1,1,1,1,1,1,1,1,1,1,16,12,20,19,175,72,20,8,9200,9600,8750,176,1992/6/15,89,49,7.7,15.8,17.5,15.7,16,16.7,9,14.8,2.5,15.8,17.5,14.8,1.5,3,2,1.5
Virgil van Dijk,Liverpool,D C,32,177,183,"The Netherlands,Suriname",Liverpool,,3,6,13,8,17,13,17,7,8,16,16,11,17,16,17,16,15,16,16,14,16,16,11,17,8,16,14,14,15,12,15,17,17,15,14,17,16,12,17,5,4,3,2,3,3,2,3,1,1,1,1,2,18,17,10,12,17,16,12,18,1,1,20,1,1,1,12,1,1,1,1,1,1,10,193,92,11,20,8850,8700,8500,177,1991/7/8,58,6,16.3,14.5,15,13.7,10.7,15.3,17,15.5,1,14.5,15,15.5,2.5,3,2.5,2.5
Alisson,Liverpool,GK,30,176,180,Brazil,Liverpool,,2,3,10,3,15,2,7,3,3,1,14,5,1,14,12,17,14,15,15,11,16,19,13,11,11,18,11,17,13,16,16,14,17,13,12,15,17,5,16,8,1,15,13,14,12,16,15,18,17,16,14,14,16,17,6,14,17,18,15,17,20,1,1,1,1,1,1,1,1,1,1,1,1,1,191,91,9,20,8800,8650,8250,176,1992/10/2,61,0,6.7,14.8,13,12.7,9.7,13,10.5,15.3,17.5,14.8,13,15.3,13.5,12,15.5,14.5
Stefan Baj?eti?,Liverpool,D/DM/M C,18,120,180,"Spain,Serbia",Liverpool,,3,8,12,5,14,7,12,7,6,13,13,8,14,14,13,13,13,14,13,10,13,15,9,5,10,13,15,14,14,14,13,11,11,13,12,9,12,8,12,7,13,3,1,1,3,3,2,1,2,1,3,1,16,15,4,12,12,12,10,12,1,1,18,14,1,14,20,1,18,1,1,1,1,1,185,75,7,20,6000,5950,4400,117,2004/10/22,0,0,13.3,12,13.5,10.7,9.7,13.3,11.5,13.7,1.5,12,13.5,13.7,1,3,3,1.5
Ben Doak,Liverpool,AM R,17,115,180,Scotland,Liverpool,,10,13,15,9,13,6,5,8,3,7,13,7,8,14,15,10,13,14,11,13,12,18,14,6,13,5,13,14,15,15,15,4,12,14,7,9,12,8,13,6,6,1,2,4,3,1,2,1,2,3,3,3,12,18,4,8,12,12,10,10,1,1,1,1,1,1,1,1,1,12,14,1,20,14,169,69,7,20,5750,5750,3250,114,2005/11/11,0,0,6.7,11.5,14.5,13.3,12,14,4.5,12.8,1.5,11.5,14.5,12.8,3,3,1,2.5
Trent Alexander-Arnold,Liverpool,D/WB/DM R,24,159,174,England,Liverpool,,14,17,12,9,17,14,11,11,14,11,18,12,13,17,12,13,11,15,11,16,14,13,13,12,14,11,15,13,14,14,14,11,15,14,14,14,13,10,14,5,14,3,2,1,1,3,2,3,3,2,3,1,15,16,7,19,14,16,12,14,1,10,1,17,12,20,16,1,13,14,1,1,1,1,180,70,12,20,7950,7950,7000,155,1998/10/7,20,2,11.7,14,14,15.7,12.7,15.3,11,12.8,3,14,14,12.8,1.5,1,3,1.5
Thiago,Liverpool,DM/M C,32,163,173,"Spain,Brazil",Liverpool,,11,13,16,8,18,12,10,11,5,12,17,12,14,18,14,16,12,17,14,18,15,15,17,13,15,13,15,15,13,17,15,10,12,11,14,9,14,8,14,13,8,3,3,3,1,2,3,1,3,3,1,2,18,17,12,11,14,16,10,12,1,1,1,1,1,1,19,10,20,10,10,14,10,1,174,70,10,20,8150,7750,7750,162,1991/4/11,46,2,13,13.8,12,17.3,13.3,17.3,10,14.5,2,13.8,12,14.5,3,1,2.5,2.5
Luis Díaz,Liverpool,AM RL,26,164,172,Colombia,Liverpool,,10,12,17,15,18,10,13,13,4,8,14,6,7,18,13,13,13,14,13,14,13,15,19,4,15,9,13,14,17,17,14,10,15,16,13,10,15,11,17,7,10,2,3,3,1,1,3,1,2,1,2,3,15,15,8,13,16,12,10,13,1,1,1,1,1,1,1,11,1,8,20,13,16,12,180,70,12,20,8250,8050,7250,160,1997/1/13,41,9,8,13.5,16.5,15.7,14.7,17.7,11.5,13.3,1.5,13.5,16.5,13.3,3,1,1.5,3
Dominik Szoboszlai,Liverpool,M/AM RLC,22,154,170,Hungary,Liverpool,,16,13,13,11,15,16,7,15,5,8,16,16,10,16,12,13,12,14,12,15,13,16,16,13,14,9,14,15,14,12,13,11,15,17,16,11,14,7,15,6,12,2,3,1,2,3,1,4,2,3,1,1,14,18,10,12,15,14,8,8,1,1,1,1,10,10,14,15,18,15,17,20,17,10,186,74,9,20,7700,7000,6750,148,2000/10/25,32,7,9,13,15.5,15.7,13,14.7,9,13.3,3,13,15.5,13.3,2,2,2.5,1
Kaide Gordon,Liverpool,AM RL,18,95,170,England,Liverpool,,7,10,13,10,12,10,4,10,4,5,10,9,6,13,8,10,7,11,7,11,8,12,12,3,10,5,10,10,14,12,9,5,9,13,7,6,9,13,10,9,8,3,3,3,3,4,2,3,4,1,3,3,11,13,7,7,10,11,8,9,1,1,1,1,1,1,1,1,1,1,18,14,20,14,176,62,20,9,5500,4700,3250,83,2004/10/5,0,0,5.3,8.5,13.5,11,10.3,12.7,4.5,9,3.5,8.5,13.5,9,3,3,3.5,2.5
Ryan Gravenberch,Liverpool,DM/M/AM C,21,141,169,"The Netherlands,Suriname",Liverpool,,13,12,14,10,15,13,12,13,6,9,15,10,12,15,11,13,13,14,12,14,13,15,15,8,14,11,12,12,13,15,14,14,13,13,14,13,12,4,12,7,9,3,1,3,1,1,3,2,2,2,2,3,11,16,2,12,13,11,13,12,1,1,1,1,1,1,18,10,20,10,12,17,10,1,190,77,11,20,7050,7000,6000,140,2002/5/16,11,1,10.7,14,13,14.7,12.7,14.7,13,13,2,14,13,13,2,1,2,3
Diogo Jota,Liverpool,AM/S RL,26,155,166,Portugal,Liverpool,,7,12,15,15,14,9,15,11,5,8,13,11,9,15,13,14,12,14,13,13,14,17,15,5,15,9,14,14,16,15,13,11,14,15,13,11,12,12,14,9,12,3,2,1,3,1,3,2,3,1,1,2,14,16,8,12,15,15,11,12,1,1,1,1,1,1,1,1,1,1,20,14,18,19,178,73,13,20,7750,8250,6500,148,1996/12/4,32,10,8.7,13,15.5,13.7,14.7,14.7,13,14,2.5,13,15.5,14,1.5,3,2,2.5
Ibrahima Konaté,Liverpool,D C,24,155,166,"France,Mali",Liverpool,,3,5,13,7,14,6,16,5,12,14,13,7,16,14,15,14,16,14,14,9,14,15,8,10,7,14,15,14,14,13,16,17,14,16,13,17,15,9,15,9,7,3,3,2,1,3,1,1,1,1,3,1,14,16,10,10,15,14,11,15,1,1,20,1,1,1,12,1,10,1,1,1,1,1,194,95,10,20,7750,6200,6250,154,1999/5/25,11,0,14.7,14.8,15,10,9.3,13.7,16.5,14.7,1,14.8,15,14.7,2.5,1,3,1
Alexis Mac Allister,Liverpool,DM/M/AM C,24,158,165,Argentina,Liverpool,,14,14,13,14,16,16,10,15,9,7,16,16,14,16,15,15,14,16,15,16,16,14,14,11,14,14,15,15,13,12,12,9,14,13,14,12,14,8,17,6,14,1,2,1,3,2,1,2,3,2,3,2,9,12,3,12,14,16,15,10,1,1,1,1,1,1,19,13,19,1,14,20,14,12,174,71,8,20,7900,7900,6500,153,1998/12/24,17,1,11.7,12.5,13,15.3,14.7,15,9.5,14.8,2.5,12.5,13,14.8,1.5,3,1.5,1.5
Andrew Robertson,Liverpool,D/WB L,29,157,165,Scotland,Liverpool,,14,16,12,5,15,9,10,5,13,14,14,7,15,14,17,14,15,15,14,12,15,16,11,15,14,13,16,17,16,14,13,9,17,16,18,12,14,13,15,6,6,3,4,4,2,3,1,2,1,3,2,1,17,15,9,16,15,15,9,13,1,19,1,1,20,1,1,14,1,1,12,1,1,1,178,64,20,4,8050,8050,7000,156,1994/3/11,64,3,14,14.3,16,12.3,11.3,13.7,9.5,15,1.5,14.3,16,15,4,2,3,1
Darwin Nú?ez,Liverpool,AM/S L,24,156,165,Uruguay,Liverpool,,5,13,13,15,12,9,12,13,5,7,11,15,9,14,16,13,14,12,13,14,12,17,14,6,17,7,15,16,17,14,12,15,15,17,15,14,13,7,12,8,10,1,2,3,2,2,2,1,3,3,1,3,12,16,3,8,12,14,12,11,1,1,1,1,1,1,1,1,1,1,17,1,12,20,187,82,13,20,7800,7800,6250,152,1999/6/24,16,3,7.7,13.8,17,13,14.7,13,13.5,14,2,13.8,17,14,2.5,2,1.5,2.5
Cody Gakpo,Liverpool,AM/S RLC,24,153,164,"The Netherlands,Togo",Liverpool,,14,14,15,13,15,12,12,14,5,7,14,11,7,14,9,13,11,14,14,13,12,14,14,13,14,8,14,14,15,15,14,13,12,14,13,12,14,4,14,7,11,3,3,4,3,1,1,2,1,2,3,3,14,14,7,13,16,15,14,14,1,1,1,1,1,1,1,13,14,13,19,18,16,20,189,76,10,20,7650,7650,6750,142,1999/5/7,17,6,7.3,13.5,14.5,13.7,13.7,14.7,12.5,13,1.5,13.5,14.5,13,3.5,3,2,2
Joe Gomez,Liverpool,D RLC,26,150,164,"England,The Gambia",Liverpool,,4,11,11,2,15,5,15,2,16,15,14,4,15,14,14,13,15,14,13,7,14,13,5,9,10,15,15,14,16,15,14,14,15,16,15,15,12,9,13,8,13,3,2,1,2,2,1,2,2,1,2,1,14,14,6,14,13,15,11,14,1,15,20,18,1,13,12,1,1,1,1,1,1,1,188,87,8,20,7500,7200,6000,151,1997/5/23,11,0,15,14.8,16,8.7,8.7,13.3,14.5,13.8,2,14.8,16,13.8,1.5,2,2.5,1
Harvey Elliott,Liverpool,M/AM RC,20,145,164,England,Liverpool,,12,15,14,11,17,12,8,10,7,9,16,12,10,16,13,14,14,15,14,16,14,16,15,10,15,11,17,17,12,15,16,7,11,13,14,11,12,5,13,7,12,1,1,1,2,3,3,1,1,1,3,1,15,15,8,16,14,13,9,12,1,1,1,1,1,1,1,14,20,14,14,14,17,6,170,64,20,7,7250,7250,5750,145,2003/4/4,0,0,10,14,12.5,15.7,13.7,15.7,7.5,14.8,1,14,12.5,14.8,1,2,2,2
Curtis Jones,Liverpool,M/AM LC,22,148,160,England,Liverpool,,11,13,16,11,16,11,8,12,7,11,14,13,10,15,12,15,11,15,14,15,14,15,15,11,15,11,17,14,14,15,14,9,12,13,14,11,13,8,13,8,11,2,2,3,1,2,3,1,1,1,1,2,14,16,8,16,15,15,12,15,1,1,1,10,1,12,14,13,19,13,20,16,14,11,185,75,9,20,7400,7250,6000,148,2001/1/30,0,0,10.7,13.5,13.5,14.7,13.7,15.7,8.5,14.3,1,13.5,13.5,14.3,2.5,1,2,2.5
Conor Bradley,Liverpool,D/WB R,20,122,160,Northern Ireland,Liverpool,,5,10,10,8,12,6,7,8,8,11,10,8,10,13,9,11,11,11,11,11,10,13,12,8,12,10,13,12,17,16,14,9,15,17,13,8,12,7,11,7,10,3,3,3,2,1,3,1,3,2,1,3,14,15,4,13,13,12,10,12,1,1,1,20,1,20,1,1,1,1,1,1,1,1,181,71,10,20,6100,6250,5000,112,2003/7/9,13,0,10.3,12.8,17,11,10.3,11.7,8,11.5,2,12.8,17,11.5,3,2,2,3
Luke Chambers,Liverpool,D/WB LC,19,93,160,England,Liverpool,,7,11,9,8,12,3,11,6,8,11,10,6,11,10,12,14,12,13,12,9,12,8,5,11,8,4,13,10,13,11,11,12,10,13,11,12,11,9,10,7,17,3,3,1,2,1,3,3,3,3,2,1,19,13,8,10,10,11,8,20,1,18,19,1,20,1,1,14,1,1,12,1,1,1,184,77,20,6,4650,4650,2250,93,2004/6/24,0,0,8.7,11.3,13,8,9.7,10.3,11.5,11.8,3,11.3,13,11.8,2,2,2,2
Bobby Clark,Liverpool,M/AM RLC,18,92,160,England,Liverpool,,9,11,15,11,14,9,9,11,9,6,15,5,11,14,15,15,5,9,10,15,14,4,14,9,12,10,14,11,7,10,10,6,13,10,6,5,12,5,9,11,15,3,1,3,1,3,3,1,3,1,2,2,19,13,5,9,12,8,10,18,1,1,1,1,1,1,1,12,19,13,18,20,16,12,177,0,10,20,4600,4600,2250,94,2005/2/7,0,0,9,7.8,8.5,14.7,10.7,14.3,7.5,10.3,2,7.8,8.5,10.3,2,1,3,2.5
Kostas Tsimikas,Liverpool,D/WB L,27,149,159,Greece,Liverpool,,13,16,15,6,15,13,8,8,11,13,15,12,15,15,14,14,14,15,13,14,14,15,13,9,14,14,15,16,15,14,14,10,14,15,15,12,13,10,13,8,10,3,3,1,3,1,1,3,2,3,1,1,15,15,6,14,14,16,8,15,1,18,1,1,20,1,1,14,1,1,7,1,1,1,175,67,20,6,7450,7250,6000,152,1996/5/12,28,0,14,13.8,15,14,11.7,15,9,14.2,2.5,13.8,15,14.2,2,3,2,1
Jo?l Matip,Liverpool,D C,31,152,158,"Cameroon,Germany",Liverpool,,4,7,15,5,15,5,16,3,8,15,14,5,15,14,13,15,14,15,15,11,15,14,11,8,10,16,15,14,13,14,12,16,13,14,14,14,13,8,14,11,5,1,1,1,1,2,3,1,2,2,1,2,16,13,5,17,14,15,10,15,1,1,20,1,1,1,12,1,8,1,1,1,1,1,195,90,8,20,7600,7250,6750,152,1991/8/8,27,1,15.3,13.5,13.5,12,10,14.7,16,14.7,1.5,13.5,13.5,14.7,1,1,1.5,2.5
Caoimhin Kelleher,Liverpool,GK,24,141,154,Republic of Ireland,Liverpool,,3,1,2,2,14,5,10,2,3,2,14,3,1,13,8,13,13,14,14,7,13,15,2,3,2,14,13,12,13,14,13,13,13,12,10,12,14,7,14,11,12,14,13,10,8,14,12,15,16,13,11,12,15,14,4,14,16,15,13,17,20,1,1,1,1,1,1,1,1,1,1,1,1,1,188,83,7,20,7050,6900,5500,137,1998/11/23,10,0,5.7,12.3,12.5,7.7,6,9.7,11.5,13.5,15.5,12.3,12.5,13.5,11.5,8,14,12
Jarell Quansah,Liverpool,D C,20,106,150,"England,Ghana,Scotland",Liverpool,,2,4,8,4,12,5,14,3,8,13,12,5,13,12,12,12,12,12,12,7,12,12,6,12,4,12,12,12,13,9,11,14,12,13,12,13,12,8,13,7,4,1,4,1,4,1,2,1,3,2,1,1,12,12,5,15,14,14,10,12,1,1,20,13,1,1,1,1,1,1,1,1,1,1,198,92,7,20,5300,5300,3100,108,2003/1/29,0,0,12.7,11.3,13,8.3,6.7,10.7,14,12,2,11.3,13,12,2.5,4,1,1.5
Melkamu Frauendorf,Liverpool,M/AM RLC,19,87,150,"Germany,Ethiopia",Liverpool,,6,9,9,8,11,3,3,8,6,7,10,3,7,11,7,13,8,10,6,8,13,5,9,13,8,7,14,12,13,8,4,5,14,12,12,8,11,6,9,6,15,3,1,1,3,2,2,2,3,3,1,1,17,13,8,10,11,11,11,19,1,1,1,12,1,14,1,13,16,15,15,13,20,12,179,0,6,20,4350,4350,2000,75,2004/1/12,0,0,7,8,12.5,9,8.7,10.3,4,9.8,2.5,8,12.5,9.8,1,3,2.5,1.5
Isaac Mabaya,Liverpool,D/WB/M RC,18,82,150,"England,Zimbabwe",Liverpool,,7,10,9,3,10,8,8,7,2,10,10,6,10,15,14,12,9,14,8,10,6,14,5,3,9,7,9,10,12,6,13,7,11,15,10,12,20,15,7,8,13,3,3,1,2,2,1,1,2,2,3,1,16,10,8,10,11,11,13,16,1,1,1,16,1,19,15,1,20,15,1,1,1,1,183,87,7,20,4100,4100,2000,69,2004/9/22,0,0,9,10.3,13.5,8.3,8.7,11.3,7.5,9.7,1.5,10.3,13.5,9.7,2,2,2.5,1
Oakley Cannonier,Liverpool,S ,19,82,150,England,Liverpool,,4,8,9,13,14,6,14,6,1,7,9,7,7,14,12,8,6,12,8,4,14,14,13,5,11,5,7,9,14,13,8,6,17,14,9,4,20,12,12,7,11,4,1,2,3,1,3,3,3,2,2,2,8,8,3,10,10,11,12,14,1,1,1,1,1,1,1,1,1,1,14,14,14,20,171,58,8,20,4050,4050,2000,85,2004/5/6,0,0,6.3,8.5,14,8.7,12,12.3,10,9.5,3,8.5,14,9.5,1.5,3,2.5,2.5
Calum Scanlon,Liverpool,D/WB/M L,18,76,150,England,Liverpool,,5,10,9,6,11,5,7,5,5,7,4,3,9,10,10,7,7,5,10,7,8,8,14,6,7,5,8,11,12,14,10,8,5,12,12,3,20,6,19,7,16,3,1,1,1,3,2,3,4,1,3,2,13,12,4,12,10,11,11,20,1,18,1,1,20,1,1,16,1,1,15,1,1,1,180,0,20,7,3800,3800,1750,56,2005/2/14,0,0,7,9.8,12,8.3,6,10,7.5,8,3.5,9.8,12,8,1,1,3,2
Lewis Koumas,Liverpool,AM/S RLC,17,76,150,"Wales,England,Cyprus",Liverpool,,4,6,9,11,12,5,7,7,3,4,12,6,6,12,11,9,5,11,6,12,12,16,11,5,12,4,12,12,12,10,6,6,15,11,5,2,11,11,20,7,9,2,2,3,2,2,2,2,3,4,3,1,10,11,2,11,10,13,13,13,1,1,1,1,1,1,1,1,14,1,18,19,17,20,177,0,9,20,3800,3800,1750,60,2005/9/19,0,0,4.7,5.8,11.5,11.7,11.3,11,6.5,10,2.5,5.8,11.5,10,2.5,2,2,1.5
